Mine_ID,Latitude,Longitude,State,Mine_Name,Mine_Status,Substatus,Commodity,C1_Temperature,C2_Rainfall,C3_Faults,C4_Direct_Use,C5_Roads,C6_Railways,C7_Powerlines,C8_Ports,C9_Health,C10_Manufacturing,C11_Agriculture,C12_Education,C13_Data_Centres,C14_Built_Up,TOPSIS_Score,Rank,Suitability_Class
17636,-35.327567,148.435946,NSW,Kents Workings,Inactive mine,Ceased/Terminated,Au,27.0676,1250.0,4.4541395991,19.7634589185,1.46075216227,20.4096424507,1.088087071,238.216948321,19.4830892005,21.2629148211,52.025246619,19.5681315096,56.0964479574,13.1107754728,0.860262,1753,Suitable
17637,-35.337469,148.437222,NSW,"Cramptons Reef, Argalong Mine",Inactive mine,Ceased/Terminated,Au,27.0324,1250.0,4.01860824808,20.0697866931,2.45119532152,20.7482851234,0.02607130218,237.240089126,19.7189732501,21.5398272226,52.2122092149,19.8468890145,55.9660445223,13.5690273397,0.860178,1773,Suitable
17638,-35.337495,148.435022,NSW,Come at Last Mine,Inactive mine,Ceased/Terminated,Au,27.0313,1250.0,3.8429037837,19.8748546012,2.50985122284,20.5547114516,0.01231732483,237.349694495,19.5216489058,21.3437111746,52.4046232789,19.650921856,56.1656605789,13.3833799614,0.860207,1765,Suitable
17639,-35.347247,148.448949,NSW,Argalong Gold Mine,Inactive mine,Ceased/Terminated,Au,26.9995,1250.0,4.41766826881,21.3473886771,3.33628041229,22.0484233939,0.29784937681,235.743642487,20.9425830577,22.7923612408,51.5142311586,21.1040130308,54.9089629378,14.9612471348,0.859871,1816,Suitable
17640,-35.345199,148.46927,NSW,Culgans Reef,Inactive mine,Ceased/Terminated,Au,27.0131,1250.0,6.13832696856,23.0924320327,3.09131255787,23.7763735645,0.411028561,234.905689482,22.7216609048,24.5546497018,49.6905556224,22.8630289752,53.0620728816,16.5947922308,0.859552,1882,Suitable
17641,-35.367423,148.494989,NSW,Murphys Reef,Inactive mine,Ceased/Terminated,Au,26.9111,1250.0,6.82555487681,25.9664528022,6.19646866544,26.6911880616,1.16864603773,231.557065512,25.4971846444,27.3787860931,48.3458916537,25.6997069751,50.8223364812,19.6873329905,0.85862,2047,Suitable
17642,-35.40274,148.406996,NSW,"Bogong Copper Mine, Stinking Creek, Mount Hart, Cunninghams Mine",Inactive mine,Ceased/Terminated,Cu,26.835,1250.0,1.97111054691,20.3385185422,2.19104272891,21.1908972619,2.64621200039,232.856279967,19.5221991681,21.4849986263,57.2185091416,19.9403325246,59.129789933,15.6176251596,0.859869,1818,Suitable
17643,-35.421274,148.440912,NSW,"Stokes Reef, Golden Dollar Reef, Goobarragandra Gold Mine",Inactive mine,Ceased/Terminated,"Au, Cu",26.7219,1250.0,0.301948895022,24.0399154191,3.31352036036,23.7017798126,0.27139685321,229.393521299,23.2189274584,25.1817060133,55.2534557074,23.6410565594,56.3738106785,19.1944130798,0.859317,1933,Suitable
17644,-35.600639,146.621285,NSW,Goodwood Reef,Inactive mine,Ceased/Terminated,Au,32.8632,500.0,43.4273316216,87.011668397,1.65767691761,3.62127824269,32.2136996789,289.067542072,38.3204872531,33.6404974889,30.275489455,48.401169066,59.3750769972,3.62518715508,0.818745,33745,Moderately Suitable
17645,-35.598109,146.624035,NSW,Lone Hand Reef,Inactive mine,Ceased/Terminated,Au,32.8951,500.0,43.7380659275,87.009250191,2.03096157669,3.7515420716,32.0959216221,289.437235471,38.0108253822,33.4413274395,30.650639966,48.7614906183,59.5089401917,3.8310427956,0.818696,33769,Moderately Suitable
